title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count
Lubok,1,stable,geography,Geography.Regions.Europe.Eastern_Europe,de,0.9823,0.0108,24,11,74,6702,0.0,0,1573,11,2360
Kornische Sprache,0,contested,culture,Culture.Linguistics,de,0.4805,0.04,16,13,167,8397,0.007,1,1140,18,3344
Buch Tobit,1,stable,culture,Culture.Literature,de,1.9218,0.0275,34,14,167,8372,0.013,0,1127,12,3748
George Peabody,0,contested,culture,Culture.Biography.Biography*,de,2.3966,0.0141,14,5,57,7564,0.012,0,574,7,1917
George Alsop,1,stable,culture,Culture.Biography.Biography*,de,3.9062,0.0756,11,4,42,7685,0.0,0,1119,8,2251
Intrexx,0,contested,science,STEM.STEM*,de,1.7182,0.0088,22,7,27,5393,0.0,0,282,7,2212
Coniophis,1,stable,science,STEM.STEM*,de,0.0,0.0,53,7,23,5038,0.013,0,1535,5,2358
Politikverdrossenheit,0,contested,politics_history,History_and_Society.Politics_and_government,de,1.9853,0.0344,31,20,247,8385,0.012,0,3911,30,5765
George Mason,1,stable,politics_history,History_and_Society.Politics_and_government,de,4.025,0.0107,44,18,74,7668,0.081,0,2345,6,5432
Nursultan Nasarbajew,0,contested,geography,Geography.Regions.Asia.Asia*,de,1.3819,0.0254,58,12,267,8066,0.005,0,656,19,3675
Diolkos,1,stable,geography,Geography.Regions.Europe.Southern_Europe,de,2.0644,0.0,96,15,117,8181,0.021,0,5457,15,3917
Biofeedback,0,contested,science,STEM.Medicine_&_Health,de,3.3852,0.022,30,10,162,8066,0.018,0,351,12,2459
Theorie der endlichen Kugelpackungen,1,stable,science,STEM.STEM*,de,0.0,0.0762,18,14,154,7939,0.003,0,7551,11,2497
Kindertagesbetreuung,0,contested,politics_history,History_and_Society.Education,de,5.5578,0.0414,47,18,102,7665,0.02,0,713,8,3747
Wieslauftalbahn,1,stable,politics_history,History_and_Society.Transportation,de,2.6385,0.0056,36,19,177,7828,0.038,0,222,22,3685
Geschichte Äquatorialguineas,0,contested,geography,Geography.Regions.Africa.Africa*,de,0.0,0.0333,66,27,96,7164,0.01,0,172,4,4830
Mesolongi,1,stable,geography,Geography.Regions.Europe.Southern_Europe,de,1.4058,0.0461,14,27,118,7284,0.038,0,1752,17,4885
Self Storage,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0746,71,17,121,6942,0.009,0,190,12,2405
Adolf von Kröner,1,stable,culture,Culture.Biography.Biography*,de,0.5464,0.0,17,11,78,7312,0.007,0,1263,7,2360
Thomas Ball Barratt,0,contested,culture,Culture.Biography.Biography*,de,1.5156,0.008,17,23,89,7063,0.01,0,138,2,3881
Madlax,1,stable,culture,Culture.Literature,de,2.1337,0.06,40,14,56,6909,0.0,0,7392,13,3843
"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",0,contested,politics_history,History_and_Society.Politics_and_government,de,0.0,0.0472,10,24,42,6830,0.0,0,0,0,2826
Fünfjahrplan (Briefmarkenserie),1,stable,politics_history,History_and_Society.History,de,0.8772,0.0142,8,8,73,6924,0.0,0,6709,22,3042
Unicredit Bank Austria,0,contested,geography,Geography.Regions.Europe.Europe*,de,2.2883,0.0345,64,38,202,7649,0.007,0,1063,12,4408
Kloster Himmelkron,1,stable,geography,Geography.Regions.Europe.Europe*,de,1.3744,0.0343,27,23,83,7798,0.0,1,5486,9,4657
Politisches System Japans,0,contested,geography,Geography.Regions.Asia.East_Asia,de,1.8832,0.0582,7,18,166,7615,0.006,0,3472,16,3643
Craters of the Moon National Monument,1,stable,geography,Geography.Geographical,de,1.1933,0.0845,19,10,80,7639,0.006,0,847,10,3380
Al-Andalus,0,contested,geography,Geography.Regions.Europe.Southern_Europe,de,0.8296,0.0327,40,15,276,6363,0.01,0,4999,22,4645
Basler Fasnacht,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,1.1801,0.0414,16,29,264,6279,0.0,0,4677,22,4586
Judentum in Afrika,0,contested,geography,Geography.Regions.Africa.Africa*,de,2.4241,0.0118,36,45,158,7232,0.024,0,3023,18,7971
LGV Est européenne,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,4.0331,0.028,98,32,204,6732,0.008,1,3489,33,7672
Nornickel,0,contested,geography,Geography.Regions.Asia.North_Asia,de,1.2966,0.0215,118,13,120,7044,0.0,0,235,8,4746
Schwarzwaldbahn (Baden),1,stable,geography,Geography.Regions.Europe.Western_Europe,de,3.3491,0.0201,42,21,234,6736,0.018,0,354,22,4724
Data Loss Prevention,0,contested,science,STEM.Computing,de,3.276,0.058,11,14,92,6603,0.014,0,321,5,1785
Bonnetiaceae,1,stable,science,STEM.Biology,de,0.0,0.0167,43,11,53,6998,0.0,0,625,2,1746
Ahmad Schah Massoud,0,contested,geography,Geography.Regions.Asia.South_Asia,de,1.1437,0.019,132,15,221,5807,0.006,1,14146,31,7270
S-Bahn Zürich,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,3.5033,0.0251,60,36,202,5747,0.03,0,600,20,7244
Andor Ákos,0,contested,culture,Culture.Biography.Biography*,de,1.3296,0.007,19,16,90,5251,0.011,0,2130,13,6610
Deutsche Bank Park,1,stable,culture,Culture.Sports,de,0.9667,0.0235,67,22,199,4927,0.03,0,5720,17,6586
Massivholzbau,0,contested,science,STEM.STEM*,de,1.6051,0.0763,11,15,74,6311,0.022,0,624,22,3306
Zielratte,1,stable,science,STEM.STEM*,de,0.0,0.0645,68,14,24,6195,0.086,0,343,2,3064
Israelitische Synagogen-Gemeinde Adass Jisroel zu Berlin,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,0.7489,0.0252,10,27,69,7455,0.0,0,866,7,4524
Parochialkirche (Berlin),1,stable,geography,Geography.Regions.Europe.Europe*,de,1.9871,0.0247,28,19,157,7463,0.008,0,1263,24,4997
Bernd Kebelmann,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0069,35,17,46,2888,0.008,0,212,3,3223
Halo-System,1,stable,culture,Culture.Sports,de,3.4682,0.0118,65,9,66,3471,0.006,0,2551,9,3035
Austerität,0,contested,politics_history,History_and_Society.Business_and_economics,de,1.8918,0.0238,60,11,197,5793,0.004,1,452,14,3875
Georges Scelle,1,stable,politics_history,History_and_Society.Politics_and_government,de,0.5593,0.0,56,12,30,6033,0.005,0,1111,4,3758
Montessori Biberkor,0,contested,politics_history,History_and_Society.Education,de,0.0,0.0377,162,57,34,3744,0.024,0,195,3,5744
Bruttoinlandsprodukt,1,stable,politics_history,History_and_Society.Business_and_economics,de,0.9968,0.0576,54,27,286,3756,0.016,1,1378,27,5584
Neukirchen-Vluyn,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,2.1079,0.0365,60,47,244,5517,0.016,0,982,24,6493
George Appo,1,stable,geography,Geography.Regions.Americas.North_America,de,2.4938,0.0135,135,16,60,5577,0.003,0,5280,6,6926
Gesellschaft für Unternehmensgeschichte,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.6452,0.018,8,21,35,5314,0.0,0,154,2,1815
"Trier, Stadtbibliothek, Hs. 171/1626",1,stable,politics_history,History_and_Society.History,de,1.9468,0.02,18,7,46,5562,0.012,0,4227,10,1866
Ilse Schwidetzky,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0,17,11,64,7038,0.01,0,1875,11,2254
Soliman (Elefant),1,stable,culture,Culture.Biography.Biography*,de,1.7065,0.0224,21,14,84,7273,0.0,0,4026,13,2597
Wuestenstrom,0,contested,politics_history,History_and_Society.Society,de,0.0,0.0833,89,14,130,6977,0.004,0,214,24,3890
Queen-Elizabeth-Klasse (2017),1,stable,politics_history,History_and_Society.Military_and_warfare,de,14.6013,0.0182,40,25,145,7229,0.02,0,1965,15,3990
Transzendentale Meditation,0,contested,culture,Culture.Philosophy_and_religion,de,3.7889,0.0265,105,34,124,6671,0.014,0,311,16,5905
Ammonios Hermeiou,1,stable,culture,Culture.Philosophy_and_religion,de,2.2233,0.0222,51,15,61,6567,0.0,0,398,6,6150
Monocab,0,contested,politics_history,History_and_Society.Transportation,de,7.3469,0.0333,74,14,35,1208,0.045,0,591,7,2689
Pont Ferroviaire Saint-Laurent,1,stable,politics_history,History_and_Society.Transportation,de,0.5211,0.0092,31,9,22,1654,0.0,0,1225,4,3119
TransPod,0,contested,politics_history,History_and_Society.Transportation,de,6.135,0.0286,68,6,40,3145,0.013,0,94,2,1918
Richomer,1,stable,politics_history,History_and_Society.History,de,2.3697,0.0,26,6,18,3017,0.262,0,559,6,1874
Wasser-Abrasiv-Suspensions-Strahlschneiden,0,contested,science,STEM.STEM*,de,0.0,0.0615,50,25,29,1810,0.041,0,790,3,3033
Kleine Magellansche Wolke,1,stable,science,STEM.STEM*,de,0.5831,0.0417,47,9,33,2256,0.044,0,833,7,2713
Propaganda im Ersten Weltkrieg,0,contested,geography,Geography.Regions.Europe.Europe*,de,2.0576,0.0,7,15,214,7400,0.02,0,2009,29,4383
Zwinger (Münster),1,stable,geography,Geography.Regions.Europe.Western_Europe,de,2.4947,0.0323,25,12,71,7535,0.005,2,921,11,4028
Dräxlmaier,0,contested,politics_history,History_and_Society.Transportation,de,0.0,0.0274,38,14,165,6630,0.067,0,355,10,1788
Brinkmanship,1,stable,politics_history,History_and_Society.Military_and_warfare,de,0.8097,0.1757,21,9,70,6359,0.0,1,3362,16,1823
Schulpflicht,0,contested,politics_history,History_and_Society.Education,de,2.0094,0.0594,47,13,237,5658,0.042,0,2787,17,2860
Straßenbahn München Baureihe S,1,stable,politics_history,History_and_Society.Transportation,de,1.9802,0.0112,77,8,78,4948,0.01,0,19504,15,2800
Babylon A.D.,0,contested,culture,Culture.Media.Media*,de,0.0,0.0,15,14,139,6449,0.019,0,1015,13,2438
Richard Laymon,1,stable,culture,Culture.Biography.Biography*,de,0.5203,0.006,43,13,126,7066,0.005,0,1179,14,2708
Fraunhofer-Institut für Keramische Technologien und Systeme,0,contested,science,STEM.STEM*,de,0.4083,0.0074,51,16,48,6841,0.039,0,78,4,3163
Solanum subg. Leptostemonum,1,stable,science,STEM.Biology,de,1.6194,0.0923,39,15,28,6809,0.0,0,523,4,3136
Sexhandel in Thailand,0,contested,geography,Geography.Regions.Asia.Southeast_Asia,de,4.7393,0.0753,44,9,78,5650,0.007,0,395,8,2591
Bruno Büchner,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,2.2434,0.0,36,8,76,5475,0.016,0,5668,9,2862
Deutsche Steinzeug Cremer & Breuer,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.9443,0.0286,97,22,65,3727,0.044,0,1656,5,4735
Wittem-Projekt,1,stable,politics_history,History_and_Society.Politics_and_government,de,3.1983,0.0339,100,16,20,3463,0.0,0,609,5,5402
Große Hungersnot in Irland,0,contested,geography,Geography.Regions.Europe.Northern_Europe,de,1.0678,0.0082,34,17,296,5473,0.022,4,3555,29,4827
Teltow-Werft,1,stable,geography,Geography.Regions.Europe.Europe*,de,6.7137,0.0284,63,18,66,5967,0.007,0,5406,10,4831
Staat,0,contested,politics_history,History_and_Society.Politics_and_government,de,1.7901,0.0699,63,21,220,3862,0.02,0,247,19,6601
Computerbetrug,1,stable,politics_history,History_and_Society.Politics_and_government,de,2.3326,0.0651,102,26,69,3792,0.002,0,3444,9,6487
Ludwig-Boltzmann-Institut für Funktionelle Hirntopographie,0,contested,science,STEM.STEM*,de,1.3822,0.0171,14,11,30,3964,0.0,0,166,3,2042
Drahtgewebe (Filtration),1,stable,science,STEM.Technology,de,0.0,0.0638,37,13,33,3238,0.019,0,1689,8,2028
Partidul Social Democrat European,0,contested,politics_history,History_and_Society.Politics_and_government,de,0.8491,0.0539,26,17,53,6142,0.119,0,73,3,4067
Philokartie,1,stable,politics_history,History_and_Society.History,de,1.4787,0.027,68,24,115,6138,0.004,0,1462,13,3825
Atari Teenage Riot,0,contested,culture,Culture.Media.Media*,de,0.0,0.05,7,14,168,8129,0.007,0,1853,19,2984
Cindy Sherman,1,stable,culture,Culture.Biography.Biography*,de,0.5285,0.0331,32,12,253,7866,0.011,0,323,13,2813
Schlacht im Ia-Drang-Tal,0,contested,politics_history,History_and_Society.Military_and_warfare,de,4.16,0.0,6,20,170,6973,0.004,0,2415,31,3374
Chinesische Volksbank,1,stable,politics_history,History_and_Society.Business_and_economics,de,1.6013,0.0211,30,22,115,7069,0.01,0,528,6,3333
Hamburg Commercial Bank,0,contested,politics_history,History_and_Society.Business_and_economics,de,3.7023,0.0172,59,16,260,6985,0.034,0,1422,26,3724
Korsika im Altertum,1,stable,politics_history,History_and_Society.History,de,3.0423,0.014,26,11,101,7221,0.003,0,1670,6,3764
Helmtherapie,0,contested,science,STEM.STEM*,de,2.0633,0.0204,4,10,51,6387,0.0,0,203,4,1606
Acherontia lachesis,1,stable,science,STEM.STEM*,de,0.0,0.08,15,14,32,6076,0.0,0,555,4,1644
EU-Erweiterung 2004,0,contested,politics_history,History_and_Society.Politics_and_government,de,0.7786,0.0198,7,20,327,7872,0.012,0,721,24,4246
Handelsgeschäft,1,stable,politics_history,History_and_Society.Politics_and_government,de,1.9791,0.0748,67,23,46,7610,0.0,0,1153,3,4337
Neokatechumenaler Weg,0,contested,culture,Culture.Philosophy_and_religion,de,2.4558,0.0471,86,39,170,6403,0.03,0,1155,28,7067
Günther Anders,1,stable,culture,Culture.Biography.Biography*,de,0.4896,0.0093,35,31,222,6370,0.028,1,13987,16,7414
Chartered Institute for Archaeologists,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.0,0.0561,9,12,27,3148,0.064,0,911,6,1970
Philadelphia and Reading Railroad Bridge (Susquehanna River),1,stable,politics_history,History_and_Society.Transportation,de,0.0,0.0135,23,12,22,3086,0.0,0,1206,3,2046
Neue Kadampa-Tradition,0,contested,culture,Culture.Philosophy_and_religion,de,0.3705,0.04,31,13,111,7518,0.0,1,128,22,3187
Weinbau in Kanada,1,stable,culture,Culture.Food_and_drink,de,0.0,0.0241,3,17,112,7629,0.004,0,4341,14,3142
Timotheus Höttges,0,contested,politics_history,History_and_Society.Business_and_economics,de,1.1891,0.0312,52,8,160,7025,0.029,0,64,8,2234
Josephus Daniels (Schiff),1,stable,politics_history,History_and_Society.Military_and_warfare,de,2.5214,0.0078,6,9,51,7039,0.0,0,534,4,2320
Luftlager,0,contested,science,STEM.STEM*,de,0.5061,0.073,9,31,76,8123,0.0,0,428,10,2434
Löffelhund,1,stable,science,STEM.Biology,de,0.8795,0.0263,35,14,139,8189,0.0,0,1593,13,2356
Die Zeitgeist-Bewegung,0,contested,science,STEM.STEM*,de,9.5694,0.0482,37,9,216,5621,0.004,3,3252,28,2269
Basfia succiniciproducens,1,stable,science,STEM.STEM*,de,0.0,0.05,32,11,50,6089,0.017,0,1491,9,2217
Tempolimit,0,contested,science,STEM.STEM*,de,0.5429,0.0377,62,14,80,5057,0.041,0,2569,23,2813
Lift-off-Verfahren,1,stable,science,STEM.STEM*,de,2.0768,0.027,22,10,44,5734,0.008,0,3132,6,2762
Iqos,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.0,0.0247,80,13,56,2747,0.042,0,519,8,3138
ASB Bridge,1,stable,politics_history,History_and_Society.Transportation,de,0.9515,0.0182,23,12,20,2840,0.016,0,318,3,2819
Sklavenhandel,0,contested,politics_history,History_and_Society.History,de,1.2203,0.0093,54,27,235,4921,0.012,1,5096,21,6686
Panzerhaubitze 2000,1,stable,politics_history,History_and_Society.Military_and_warfare,de,2.8392,0.0435,83,31,275,4790,0.074,0,1433,14,7112
The Third Wave,0,contested,science,STEM.Medicine_&_Health,de,0.0,0.0,10,12,170,6635,0.016,1,1873,23,1904
Regenbaum,1,stable,science,STEM.Biology,de,0.7794,0.01,14,15,71,6650,0.019,0,741,7,2149
Verelendungstheorie,0,contested,politics_history,History_and_Society.Business_and_economics,de,2.2247,0.0532,39,11,67,6150,0.0,0,17310,12,2803
Big-Mac-Index,1,stable,politics_history,History_and_Society.Business_and_economics,de,1.0173,0.0581,34,14,315,6577,0.004,0,129,24,3101
Jüngere Dryaszeit,0,contested,science,STEM.STEM*,de,0.6406,0.0673,62,14,134,7523,0.035,0,2193,28,4041
Keilzinkung,1,stable,science,STEM.STEM*,de,0.0,0.1667,116,21,68,7317,0.014,0,1158,11,4160
Gestalttherapie,0,contested,science,STEM.Medicine_&_Health,de,4.2848,0.0418,32,34,280,6863,0.004,0,25255,8,5807
Katalyse,1,stable,science,STEM.STEM*,de,0.3969,0.0742,37,35,205,7129,0.002,1,718,28,5736
Küchenabfallzerkleinerer,0,contested,science,STEM.STEM*,de,0.0,0.0465,36,12,162,7233,0.019,0,1830,21,2890
Kauffmann-White-Schema,1,stable,science,STEM.STEM*,de,0.8407,0.0328,10,12,48,7240,0.0,0,896,5,2713
Kurort,0,contested,science,STEM.Medicine_&_Health,de,1.3624,0.0738,8,12,149,8317,0.053,0,460,9,1685
Schäbe,1,stable,science,STEM.STEM*,de,0.0,0.0,14,11,59,8149,0.0,0,1430,10,1623
Substanzinduzierte Psychose,0,contested,science,STEM.Medicine_&_Health,de,0.5774,0.029,57,18,184,7285,0.006,5,3726,16,4000
Wechselwirkende Galaxien,1,stable,science,STEM.STEM*,de,0.8451,0.0451,0,16,114,7268,0.004,1,933,16,3738
Das sogenannte Böse,0,contested,science,STEM.STEM*,de,0.4925,0.0688,18,21,105,8199,0.005,0,1053,13,4425
Gänsegeier,1,stable,science,STEM.Biology,de,2.008,0.0385,40,16,227,8216,0.007,0,2172,23,4135
Pharmahersteller,0,contested,science,STEM.Medicine_&_Health,de,0.8306,0.0516,60,28,236,6198,0.016,0,6526,16,5099
(136199) Eris,1,stable,science,STEM.Space,de,0.0,0.0278,117,20,261,6412,0.038,0,2992,25,5115
PANalytical,0,contested,science,STEM.STEM*,de,0.0,0.0333,3,11,37,6618,0.027,0,0,0,1964
Waldsteppenotter,1,stable,science,STEM.Biology,de,1.5974,0.0286,12,19,52,6660,0.0,0,1002,11,2168
T-Labs,0,contested,science,STEM.STEM*,de,0.0,0.0238,27,6,85,7299,0.0,0,354,10,1563
Lilium pardalinum subsp. pitkinense,1,stable,science,STEM.Biology,de,0.0,0.037,10,8,47,6986,0.0,0,969,10,1511
Ungarische Notation,0,contested,science,STEM.Computing,de,3.5541,0.0578,9,15,145,8097,0.017,0,2570,22,3275
Ankylosauria,1,stable,science,STEM.STEM*,de,7.2389,0.0096,34,19,99,7859,0.0,0,704,5,3322
Prophylaxe (Zahnmedizin),0,contested,science,STEM.STEM*,de,8.6774,0.0633,27,43,291,7368,0.006,0,2986,30,4188
Crashtest-Dummy,1,stable,science,STEM.STEM*,de,0.8406,0.0444,27,16,170,7688,0.009,0,2063,23,4430
Alexander-Technik,0,contested,science,STEM.Medicine_&_Health,de,3.4722,0.0517,34,7,197,8192,0.025,0,5125,23,2036
Ringelröteln,1,stable,science,STEM.STEM*,de,3.201,0.0656,8,13,151,8101,0.0,0,1990,18,1818
Neoarchaikum,0,contested,science,STEM.Earth_and_environment,de,3.2051,0.0096,24,20,51,7638,0.01,0,90,3,3302
Schlangenadler,1,stable,science,STEM.Biology,de,0.3537,0.0795,31,13,119,7734,0.009,0,263,3,3358
