title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count,trends_avg,partisan_density,causal_density
Deolinda Rodrigues,1,stable,geography,Geography.Regions.Africa.Central_Africa,en,0.6266,0.0143,15,8,69,3738,0.03,0,1555,35,2511,,0.0,1.8797
Dollingstown F.C.,0,contested,geography,Geography.Regions.Europe.Northern_Europe,en,0.0,0.0,25,14,57,6107,0.025,0,103,6,1715,,0.0,1.7271
No worries,1,stable,geography,Geography.Regions.Oceania,en,0.0,0.1282,30,9,148,6347,0.003,2,118,25,1834,,0.0,1.3643
Chʼortiʼ language,0,contested,culture,Culture.Linguistics,en,0.0,0.0746,28,18,125,7708,0.009,0,589,21,3098,,0.0,3.7037
Trish (Devil May Cry),1,stable,culture,Culture.Media.Video_games,en,0.0,0.0421,53,7,118,7687,0.011,0,23,9,3076,,0.0,5.8887
History of Crimea (1991–2014),0,contested,geography,Geography.Regions.Europe.Eastern_Europe,en,0.9857,0.0233,53,7,34,1418,0.044,0,1307,15,3403,,0.0,0.9857
Abel Tasman Monument,1,stable,geography,Geography.Regions.Oceania,en,0.0,0.0411,48,8,23,1596,0.011,0,426,10,2831,,0.0,1.7472
Giacinto Scoles,0,contested,science,STEM.STEM*,en,0.0,0.027,21,5,67,6653,0.033,0,199,11,2738,,0.0,1.1105
Pluto in fiction,1,stable,science,STEM.Space,en,0.0,0.0606,73,8,210,6789,0.0,0,2010,22,2315,,0.0,4.3042
Ellsworth Culver,0,contested,culture,Culture.Biography.Biography*,en,1.2903,0.0,7,8,96,7183,0.007,0,362,10,1888,,0.0,1.2903
Automatic scorer,1,stable,culture,Culture.Biography.Biography*,en,0.0,0.0789,42,4,51,6895,0.007,0,1319,17,1923,,0.0,1.3717
Naromurar,0,contested,geography,Geography.Regions.Asia.South_Asia,en,0.0,0.128,21,36,47,3792,0.015,0,119,4,4242,,0.0,1.1344
Al-Rahba,1,stable,geography,Geography.Regions.Asia.West_Asia,en,0.0,0.0513,189,19,45,3644,0.009,0,56,11,4939,,0.0,2.2459
John P. Angelos,0,contested,culture,Culture.Sports,en,1.1969,0.058,72,10,162,7270,0.003,0,443,16,3056,,0.0,2.9922
Shmap'n Shmazz,1,stable,culture,Culture.Media.Music,en,0.9671,0.0341,1,11,85,7341,0.012,0,450,17,2772,,0.0,4.8356
Border security in the United States,0,contested,politics_history,History_and_Society.Politics_and_government,en,0.0,0.0299,31,13,82,6373,0.034,0,782,19,3040,,0.0,1.4631
Case of the Hooded Man,1,stable,politics_history,History_and_Society.Politics_and_government,en,0.9141,0.0172,58,6,43,6241,0.0,0,560,14,2793,,0.0,1.8282
Narendra Mehta,0,contested,culture,Culture.Biography.Biography*,en,3.125,0.0377,31,13,80,3668,0.091,0,40,8,1616,,1.0417,0.0
The Art Teacher,1,stable,culture,Culture.Media.Media*,en,0.0,0.0,47,5,28,3368,0.0,0,108,10,1789,,0.0,0.0
Workers World Party,0,contested,politics_history,History_and_Society.Politics_and_government,en,1.1099,0.0208,33,16,251,5826,0.022,0,3743,32,2876,,0.0,2.2198
Francis Pegahmagabow,1,stable,politics_history,History_and_Society.Military_and_warfare,en,1.0593,0.0769,53,11,252,5784,0.05,0,2489,29,3136,,0.0,2.1186
Islamic Association of Palestine,0,contested,politics_history,History_and_Society.Politics_and_government,en,1.6949,0.069,42,6,122,8472,0.044,0,933,23,1810,,0.0,0.0
The Great Artiste,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,4,7,111,8298,0.012,0,687,20,1738,,0.0,0.9843
David Ivon Jones,0,contested,culture,Culture.Biography.Biography*,en,0.0,0.0208,119,17,34,1848,0.032,0,996,11,4393,,0.0,0.0
Welsh Corgi,1,stable,science,STEM.Biology,en,0.8969,0.0476,53,13,286,2352,0.05,1,6001,28,4165,,0.0,1.3453
Cyberpsychology,0,contested,science,STEM.STEM*,en,0.0,0.0984,87,16,218,7385,0.034,0,1447,27,4500,,0.0,3.6134
Antofalla,1,stable,science,STEM.STEM*,en,0.0,0.1429,72,14,95,7786,0.016,0,26,18,4126,,0.0,3.0303
British Hit Singles & Albums,0,contested,culture,Culture.Media.Media*,en,0.4589,0.0305,4,10,137,7952,0.008,0,543,16,2918,,0.0,4.1303
Hasil Adkins,1,stable,culture,Culture.Media.Media*,en,2.6619,0.0385,117,8,239,7919,0.002,0,475,21,3028,,0.0,0.8873
St. Joseph's Indian School,0,contested,politics_history,History_and_Society.Education,en,0.5666,0.0444,77,14,91,4894,0.011,1,5341,11,4600,,0.0,2.2663
12th (Eastern) Infantry Division,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0057,1,12,26,4965,0.0,0,185,21,4952,,0.0,2.031
Sex symbol,0,contested,culture,Culture.Media.Media*,en,0.0,0.1522,67,8,131,3713,0.048,1,3423,30,2200,,0.0,1.1013
I Am Tour (Leona Lewis),1,stable,culture,Culture.Biography.Biography*,en,0.0,0.0185,22,5,38,3885,0.0,0,117,10,2332,,0.0,0.6998
William Henry Dietz,0,contested,culture,Culture.Sports,en,2.0367,0.0204,13,14,142,7260,0.005,0,263,31,3011,,0.0,1.0183
Harald Maddadsson,1,stable,culture,Culture.Biography.Biography*,en,2.4839,0.0,29,8,66,7289,0.008,0,740,25,2589,,0.0,3.4774
Mathematics in the medieval Islamic world,0,contested,science,STEM.STEM*,en,0.0,0.0286,44,18,251,4514,0.028,0,8113,6,5374,,0.0,2.5632
Damselfly,1,stable,science,STEM.STEM*,en,0.0,0.1,92,14,152,4077,0.004,0,420,29,6428,,0.0,1.7787
Tania Tetlow,0,contested,culture,Culture.Biography.Biography*,en,2.7051,0.0755,31,8,68,2773,0.04,0,110,15,1977,,0.0,0.9017
Mud Blood,1,stable,culture,Culture.Media.Media*,en,0.0,0.0968,59,9,21,2799,0.0,0,34,4,1838,,0.0,1.3908
KTM 950 Super Enduro R,0,contested,culture,Culture.Sports,en,0.6631,0.0759,4,9,38,3425,0.062,0,64,3,1806,,0.0,5.9682
Phyllis Lightbourn-Jones,1,stable,culture,Culture.Sports,en,0.0,0.0238,30,5,20,3250,0.075,0,198,8,1537,,0.0,0.0
Non-heterosexual,0,contested,politics_history,History_and_Society.Society,en,0.8993,0.2222,51,5,179,8065,0.036,0,2754,25,2914,,0.0,2.6978
Marcus Calpurnius Bibulus,1,stable,politics_history,History_and_Society.History,en,1.1876,0.0179,24,10,151,8102,0.063,1,1663,24,3137,,0.0,3.5629
2023 cybercrime law in Jordan,0,contested,culture,Culture.Biography.Biography*,en,0.0,0.0161,75,8,21,808,0.014,0,101,1,3222,,0.0,0.0
Fun Lounge police raid,1,stable,politics_history,History_and_Society.Society,en,0.0,0.0288,0,11,19,1490,0.028,0,362,10,3105,,0.0,0.7383
Harold M. Jacobs,0,contested,culture,Culture.Philosophy_and_religion,en,0.0,0.0,25,14,26,4140,0.013,0,65,5,2844,,0.0,2.5
Didi Tera Devar Deewana,1,stable,culture,Culture.Media.Media*,en,0.0,0.0286,39,7,67,4280,0.021,0,55,12,2405,,0.0,0.8078
Superstition in Islamic tradition,0,contested,culture,Culture.Philosophy_and_religion,en,2.3566,0.1031,82,20,78,2094,0.017,0,2086,17,4736,,0.0,5.4988
Graham Chapman,1,stable,culture,Culture.Media.Media*,en,0.3085,0.0135,36,16,226,2187,0.08,0,1770,19,5311,,0.0,0.9256
Paul R. Ehrlich,0,contested,culture,Culture.Biography.Biography*,en,0.9194,0.0325,113,24,198,2830,0.174,0,5091,12,6846,,0.0,2.7582
Praying (song),1,stable,culture,Culture.Media.Media*,en,0.0,0.0161,151,18,189,3113,0.024,0,38,13,6575,,0.0,0.7896
Rachelle Henry,0,contested,culture,Culture.Media.Media*,en,0.9699,0.0323,55,9,55,3256,0.0,0,20,8,2080,,0.0,0.0
Gutta Percha Company,1,stable,science,STEM.STEM*,en,0.0,0.0211,33,7,21,2660,0.0,0,272,11,1942,,0.0,3.5232
Mary Eberstadt,0,contested,culture,Culture.Biography.Biography*,en,0.4701,0.0495,52,16,113,5895,0.035,4,677,16,3368,,0.0,1.8806
Pierre Guillemin,1,stable,culture,Culture.Sports,en,0.0,0.0119,53,12,44,5955,0.028,0,195,13,3094,,0.0,3.0303
Wyoming Senate Files 12 and 80 2015 'Trespassing To Collect Data',0,contested,politics_history,History_and_Society.Politics_and_government,en,5.0336,0.0323,49,8,18,3769,0.0,0,94,4,2122,,0.0,3.3557
Boris Snetkov,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,24,8,30,3289,0.01,0,19,8,2391,,0.0,0.6146
Patricia Cardoso,0,contested,culture,Culture.Media.Films,en,0.6878,0.0392,32,11,89,6863,0.021,0,252,11,2167,,0.0,1.3755
Maverick (roller coaster),1,stable,culture,Culture.Media.Entertainment,en,0.0,0.0213,43,10,219,6817,0.008,0,743,24,2049,,0.0,2.1299
Beating heart cadaver,0,contested,science,STEM.STEM*,en,3.2328,0.1026,55,10,89,5903,0.005,0,2258,17,2737,,0.0,5.3879
Soroavisaurus,1,stable,science,STEM.STEM*,en,0.6575,0.1356,31,6,32,5860,0.333,0,15,7,2723,,0.0,0.0
Contempt of parliament,0,contested,politics_history,History_and_Society.Politics_and_government,en,1.7534,0.0847,67,12,168,7104,0.0,3,1491,20,4504,,0.0,1.1689
Battle of Ong Thanh,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,49,7,146,7196,0.013,0,880,19,4277,,0.0,1.9084
Critical incident stress management,0,contested,science,STEM.Medicine_&_Health,en,0.8143,0.1321,48,9,112,7281,0.004,1,2906,23,2858,,0.0,0.8143
Slimonia,1,stable,science,STEM.STEM*,en,0.5889,0.0588,39,7,66,6961,0.013,0,693,12,3137,,0.0,1.7668
Thomas Crowther (ecologist),0,contested,science,STEM.STEM*,en,0.0,0.082,73,6,112,2749,0.083,1,1312,16,2435,,0.0,1.7079
Rice-fish system,1,stable,science,STEM.Earth_and_environment,en,0.0,0.0286,54,14,53,2698,0.055,0,217,8,2449,,0.0,8.547
Andhra Medical College,0,contested,science,STEM.Medicine_&_Health,en,0.0,0.0597,8,12,183,7039,0.002,0,167,12,2504,,0.0,0.0
Breaker boy,1,stable,science,STEM.STEM*,en,0.0,0.0,76,6,115,6952,0.01,1,203,17,2014,,0.0,1.8248
Divergent thinking,0,contested,science,STEM.STEM*,en,0.0,0.075,21,11,145,6944,0.064,1,345,26,1540,,0.0,2.4661
Giant root-rat,1,stable,science,STEM.STEM*,en,0.0,0.0909,34,8,80,6850,0.312,1,541,18,1755,,0.0,2.9542
Everpure,0,contested,politics_history,History_and_Society.Business_and_economics,en,1.0776,0.02,58,6,121,5503,0.057,0,4762,15,2391,,0.0,0.0
SMS Budapest,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,0,10,35,5681,0.009,0,83,13,2355,,0.0,0.0
Global citizenship education,0,contested,politics_history,History_and_Society.Society,en,0.4398,0.0315,56,22,82,4271,0.008,0,160,10,4801,,0.4398,0.0
Invasion of Darfur (1916),1,stable,politics_history,History_and_Society.Military_and_warfare,en,1.0145,0.0076,5,15,82,4615,0.086,0,191,12,4192,,0.0,0.3382
Bullying in nursing,0,contested,politics_history,History_and_Society.Business_and_economics,en,0.0,0.1042,42,14,87,5614,0.0,0,2008,26,2904,,0.0,3.9409
German destroyer Z15 Erich Steinbrinck,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.8313,0.0,36,10,38,5508,0.01,0,164,10,3037,,0.0,0.8313
Trade Unionist and Socialist Coalition,0,contested,politics_history,History_and_Society.Politics_and_government,en,2.3866,0.0455,69,17,196,4020,0.016,4,1612,29,3676,,0.0,0.5967
Battle of Madang,1,stable,geography,Geography.Regions.Oceania,en,0.0,0.0263,10,6,28,3745,0.0,0,181,8,3042,,0.0,0.0
New Jersey State Police,0,contested,politics_history,History_and_Society.Politics_and_government,en,1.5763,0.0451,55,26,230,5505,0.03,0,1381,18,4865,,0.0,0.9458
Glasser v. United States,1,stable,politics_history,History_and_Society.Politics_and_government,en,0.0,0.031,130,21,34,5187,0.016,0,79,14,4850,,0.0,3.8429
Electoral reform in the United States,0,contested,politics_history,History_and_Society.Politics_and_government,en,0.0,0.0414,62,19,178,6780,0.022,1,4097,23,4517,,0.0,1.6062
Colin Falkland Gray,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0072,25,11,75,6840,0.009,0,25,17,4547,,0.0,0.4032
Calcium pyrophosphate dihydrate crystal deposition disease,0,contested,science,STEM.STEM*,en,0.0,0.0909,48,8,178,7568,0.003,0,787,19,2020,,0.0,3.4014
1852 Atlantic hurricane season,1,stable,science,STEM.Earth_and_environment,en,0.0,0.0625,35,11,70,7625,0.015,0,297,12,2101,,0.0,4.8232
Group psychotherapy,0,contested,science,STEM.Medicine_&_Health,en,0.4748,0.1364,44,8,191,8794,0.019,0,1110,19,3961,,0.0,1.4245
Salyut 6,1,stable,science,STEM.Space,en,0.0,0.0,10,10,150,8358,0.024,1,283,17,4194,,0.0,0.0
National Security Study Memorandum 200,0,contested,politics_history,History_and_Society.Politics_and_government,en,0.0,0.1053,15,8,105,7856,0.021,0,752,15,2229,,0.0,3.4247
Warrior-class ironclad,1,stable,politics_history,History_and_Society.Transportation,en,0.0,0.0149,36,10,60,7910,0.031,0,98,12,2252,,0.0,2.331
AAC-1937,0,contested,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0455,8,10,37,3195,0.0,0,11,5,1534,,0.0,1.8587
Typhoon Holly (1984),1,stable,science,STEM.Earth_and_environment,en,0.0,0.0222,35,5,25,2869,0.0,0,16,9,1799,,0.0,8.0092
Civilian casualty ratio,0,contested,politics_history,History_and_Society.Military_and_warfare,en,1.8235,0.0122,154,31,247,4337,0.07,0,2216,26,6356,,0.0,2.9176
Arjan Singh,1,stable,geography,Geography.Regions.Asia.South_Asia,en,0.0,0.0186,86,19,229,3638,0.01,3,260,28,6040,,0.0,0.6092
Manus O'Cahan's Regiment,0,contested,politics_history,History_and_Society.Military_and_warfare,en,0.6307,0.0113,4,11,85,7055,0.0,0,882,23,3620,,0.0,0.0
Nostrand Avenue station (IND Fulton Street Line),1,stable,politics_history,History_and_Society.Transportation,en,0.0,0.0211,68,8,129,7263,0.017,0,239,13,3761,,0.0,3.9084
J. G. Jolly,0,contested,science,STEM.Medicine_&_Health,en,0.0,0.0303,35,3,43,5331,0.018,0,125,7,2063,,0.0,2.9895
Saproamanita thiersii,1,stable,science,STEM.STEM*,en,0.0,0.2727,62,9,67,5627,0.0,1,733,18,1748,,0.0,0.0
TASCAM,0,contested,politics_history,History_and_Society.Business_and_economics,en,0.0,0.0179,71,11,142,7614,0.032,0,521,13,2400,,0.0,0.6658
Ioveta,1,stable,politics_history,History_and_Society.History,en,0.0,0.0119,0,10,55,7685,0.0,0,179,18,2138,,0.0,2.6069
Nikolai Kuznetsov (admiral),0,contested,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,5,10,259,8831,0.02,0,610,32,2099,,0.0,0.576
HMS Hesperus,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,40,5,68,8108,0.022,0,257,14,2206,,0.0,0.0
Respectability politics,0,contested,politics_history,History_and_Society.Society,en,0.8543,0.0874,66,18,156,4267,0.033,0,1176,28,4454,,0.0,2.1358
Twelfth siege of Gibraltar,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.425,0.0241,58,7,49,4809,0.033,0,158,12,4979,,0.0,0.85
Kemalism,0,contested,politics_history,History_and_Society.Politics_and_government,en,0.8126,0.106,75,23,203,1746,0.014,0,10922,23,6879,,0.0,1.896
Pamela Stephenson,1,stable,culture,Culture.Media.Media*,en,0.0,0.049,155,12,162,2417,0.014,0,892,35,6125,,0.0,1.19
Battle of Yultong,0,contested,politics_history,History_and_Society.Military_and_warfare,en,0.7819,0.0161,15,6,242,3294,0.058,2,95,21,2173,,0.0,2.3456
Medo-Babylonian conquest of the Assyrian Empire,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0149,1,9,74,3157,0.016,0,109,13,2507,,0.0,1.4627
Medical–industrial complex,0,contested,science,STEM.Medicine_&_Health,en,1.0599,0.0617,168,23,64,4005,0.019,0,2102,21,6114,,0.0,3.1797
Windows Server 2012,1,stable,science,STEM.STEM*,en,0.834,0.0317,94,22,233,3743,0.02,1,4491,26,6314,,0.0,0.0
Trauma model of mental disorders,0,contested,science,STEM.Medicine_&_Health,en,0.0,0.0411,28,6,110,7312,0.011,0,1927,23,2137,,0.0,1.4524
French cruiser Pluton,1,stable,politics_history,History_and_Society.Transportation,en,0.0,0.0,23,8,66,6950,0.013,0,347,17,2065,,0.0,0.7616
Special-purpose acquisition company,0,contested,politics_history,History_and_Society.Business_and_economics,en,0.5848,0.0349,44,15,224,6729,0.008,1,1867,17,3240,,0.0,3.5088
Murder of Russel Timoshenko,1,stable,politics_history,History_and_Society.Politics_and_government,en,0.793,0.0,115,14,112,6734,0.011,1,838,19,3735,,0.0,4.7581
"Life Partners, Inc.",0,contested,politics_history,History_and_Society.Business_and_economics,en,1.6667,0.0485,26,11,74,7377,0.017,0,584,12,2527,,0.0,1.6667
German cruiser Königsberg,1,stable,politics_history,History_and_Society.Military_and_warfare,en,0.0,0.0,0,9,103,7426,0.007,0,85,20,2341,,0.0,1.4458
Commons-based peer production,0,contested,politics_history,History_and_Society.Politics_and_government,en,2.3943,0.1346,39,9,240,7701,0.002,2,1455,33,2994,,0.7981,4.7885
Public Storage,1,stable,politics_history,History_and_Society.Business_and_economics,en,2.5349,0.093,89,11,191,7583,0.04,0,1133,25,2942,,0.0,1.2674
New Right (South Korea),0,contested,politics_history,History_and_Society.Politics_and_government,en,0.8945,0.1778,38,12,49,5276,0.026,0,263,8,2313,,0.0,7.1556
Fair dealing in United Kingdom law,1,stable,politics_history,History_and_Society.Politics_and_government,en,0.0,0.1053,36,10,34,5370,0.011,0,423,11,2722,,0.0,2.2198
Indigenous decolonization,0,contested,politics_history,History_and_Society.Society,en,0.0,0.0833,60,15,79,7111,0.007,0,1006,32,3191,,0.0,1.9724
Clarence Ransom Edwards,1,stable,politics_history,History_and_Society.Military_and_warfare,en,1.6681,0.0455,34,14,96,7142,0.004,0,345,23,2931,,0.0,0.834
Outpatient commitment,0,contested,science,STEM.Medicine_&_Health,en,0.9349,0.0314,79,33,132,8836,0.021,0,2463,23,5929,,0.0,1.5581
Battle of the Eurymedon,1,stable,politics_history,History_and_Society.History,en,0.8035,0.0172,119,14,142,8185,0.0,1,337,30,4830,,0.0,4.8212
The Genetic Lottery,0,contested,science,STEM.STEM*,en,2.7076,0.1081,16,3,17,1392,0.05,0,82,4,1697,,0.0,0.9025
1909 Benavente earthquake,1,stable,science,STEM.Earth_and_environment,en,0.0,0.0,30,6,17,1646,0.025,0,170,4,1538,,0.0,0.0
Equine-assisted therapy,0,contested,science,STEM.Biology,en,0.7092,0.0678,75,12,142,6930,0.023,0,1549,19,4227,,0.0,3.5461
Fermium,1,stable,science,STEM.STEM*,en,0.0,0.0649,59,13,253,6733,0.014,0,743,18,4054,,0.0,6.4635
CRDF Global,0,contested,science,STEM.STEM*,en,0.0,0.0102,22,11,59,7631,0.0,0,11,5,1913,,0.0,1.3841
Cylindropuntia imbricata,1,stable,science,STEM.Biology,en,0.0,0.1034,29,7,97,7588,0.006,0,800,16,1559,,0.0,3.8023
ILA Berlin Air Show,0,contested,science,STEM.STEM*,en,0.6761,0.0149,6,12,111,7385,0.016,0,489,14,1899,,0.0,0.6761
Hogg Rock,1,stable,geography,Geography.Regions.Americas.North_America,en,1.5279,0.1,17,8,49,7003,0.0,0,17,15,2252,,0.0,0.7639
Problematic social media use,0,contested,science,STEM.Medicine_&_Health,en,0.0,0.0538,99,20,232,1914,0.056,4,1695,24,5224,,0.0,3.003
Fredrik Elfving,1,stable,science,STEM.STEM*,en,0.0,0.0,70,14,21,2062,0.023,0,20,5,4589,,0.0,0.0
Patrick Matthew,0,contested,science,STEM.STEM*,en,1.1186,0.0135,56,16,139,5342,0.008,6,7123,14,7309,,0.0,2.5168
1989 Pacific hurricane season,1,stable,science,STEM.Earth_and_environment,en,0.0,0.0051,149,32,123,5845,0.03,0,3035,19,7498,,0.0,5.0267
Somatic psychology,0,contested,science,STEM.STEM*,en,0.0,0.0732,31,9,150,7184,0.003,0,2437,28,1759,,0.0,6.8182
Azure-hooded jay,1,stable,science,STEM.Biology,en,0.0,0.1143,51,11,58,6855,0.0,0,78,10,1795,,0.0,2.0964
Paul Sereno,0,contested,science,STEM.STEM*,en,0.0,0.0392,20,8,158,7562,0.069,0,601,17,1690,,0.0,0.9814
Pennsylvania Route 97 (Adams County),1,stable,geography,Geography.Regions.Americas.North_America,en,0.0,0.0,62,6,35,7151,0.011,1,408,16,1875,,0.0,0.0
Barnard's test,0,contested,science,STEM.Mathematics,en,0.0,0.1111,12,6,67,6189,0.008,0,2812,15,1752,,0.0,5.176
Tropical Storm Soudelor (2009),1,stable,science,STEM.Earth_and_environment,en,0.0,0.0149,40,9,54,6157,0.027,0,851,18,1842,,0.0,1.004
Lynne McTaggart,0,contested,science,STEM.STEM*,en,1.0753,0.1143,25,6,180,7392,0.002,0,1072,20,1747,,0.0,0.0
Gants Hill tube station,1,stable,politics_history,History_and_Society.Transportation,en,0.0,0.1143,30,10,140,7841,0.009,0,766,19,1795,,0.0,0.0
Extractivism,0,contested,science,STEM.Earth_and_environment,en,2.046,0.0938,155,25,94,3384,0.081,0,2142,18,5656,,0.0,10.7417
Black-footed cat,1,stable,science,STEM.Biology,en,0.0,0.0303,98,14,163,3466,0.022,4,1113,34,4726,,0.0,2.3456
NYU Langone Health,0,contested,science,STEM.STEM*,en,0.0,0.1008,187,28,191,4840,0.046,0,70,6,6709,,0.0,1.0586
History of numerical weather prediction,1,stable,science,STEM.STEM*,en,0.0,0.0915,106,13,75,5553,0.009,0,1118,10,5932,,0.0,5.9022
Pathological demand avoidance,0,contested,science,STEM.Medicine_&_Health,en,0.0,0.0851,54,12,179,5203,0.02,0,4797,17,2654,,0.0,0.0
Ecnomiohyla rabborum,1,stable,science,STEM.STEM*,en,0.0,0.0253,52,8,107,5187,0.1,0,706,17,2948,,0.0,3.2362
Digital Research,0,contested,science,STEM.Computing,en,1.3441,0.0222,66,14,188,8626,0.011,0,1447,9,2569,,0.0,0.0
USS Rhode Island (BB-17),1,stable,politics_history,History_and_Society.Transportation,en,0.0,0.0,1,10,86,8450,0.01,0,50,13,2582,,0.0,0.4494
Improving Access to Psychological Therapies,0,contested,science,STEM.Medicine_&_Health,en,2.9326,0.0282,32,8,67,6214,0.014,0,398,12,2594,,0.0,1.173
Meteorological history of Hurricane Georges,1,stable,science,STEM.Earth_and_environment,en,0.0,0.0,63,7,29,6191,0.01,0,348,12,2534,,0.0,2.0202
Szondi test,0,contested,science,STEM.STEM*,en,0.3738,0.0542,101,29,127,7241,0.007,0,1587,8,5193,,0.0,1.1215
Phil Edwards (footballer),1,stable,culture,Culture.Sports,en,0.0,0.0,143,16,111,6633,0.006,0,270,14,4986,,0.0,2.8429
Craigslist,0,contested,science,STEM.STEM*,en,1.2646,0.0186,113,22,313,2497,0.054,13,45,31,5973,,0.0,1.5808
Friedreich's ataxia,1,stable,science,STEM.STEM*,en,0.0,0.1667,106,26,109,2699,0.012,1,1631,29,5613,,0.0,3.9548
Criminal spin,0,contested,science,STEM.Medicine_&_Health,en,0.0,0.1039,11,13,24,3590,0.012,0,110,6,1736,,0.0,5.0615
Typhoon Zola,1,stable,science,STEM.Earth_and_environment,en,0.0,0.0122,55,6,27,3231,0.015,0,62,10,1854,,0.0,2.1529
Opel-RAK,0,contested,science,STEM.STEM*,en,0.0,0.0172,37,7,72,6300,0.005,0,823,11,3644,,0.0,2.8606
Kanzi,1,stable,science,STEM.Biology,en,0.7927,0.0081,46,11,299,6354,0.148,0,6143,31,3831,,0.0,1.5854
Decltype,1,stable,science,STEM.Computing,en,0.0,0.0909,68,5,51,6085,0.038,0,527,19,1829,,0.0,0.0
Norfolk Spaniel,1,stable,science,STEM.Biology,en,0.0,0.1379,34,4,46,6941,0.0,0,24,9,1532,,0.0,1.1074
Zigrasimecia,1,stable,science,STEM.STEM*,en,0.0,0.0317,36,8,40,4583,0.071,0,617,14,3731,,0.0,6.856
Hurricane Easy (1950),1,stable,science,STEM.Earth_and_environment,en,0.0,0.0465,27,5,68,7547,0.022,0,1046,25,1525,,0.0,3.8265
The Two Mrs. Nahasapeemapetilons,1,stable,culture,Culture.Media.Television,en,0.0,0.0238,28,6,271,7943,0.007,3,2124,28,1772,,0.0,0.0
Amy Gardner,1,stable,culture,Culture.Media.Television,en,0.0,0.0333,15,5,110,7774,0.012,1,245,16,1650,,0.0,2.8169
Echiura,1,stable,science,STEM.STEM*,en,0.0,0.025,54,9,162,8823,0.004,0,129,12,2994,,0.0,1.3831
Catalytic triad,1,stable,science,STEM.STEM*,en,0.0,0.0755,128,28,119,7556,0.002,0,2178,13,5994,,0.0,4.1475
