title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f3_original_recomputed,f3_no_generic_quantifiers,f4_current_ratio_min3,f4_expanded_smoothed_ratio,f5_original_reproduced,f5_revised,f6_contrastive_recomputed,f7_mtld_recomputed
Buch Tobit,1,stable,culture,3748,8372,1.6008537886873,2.934898612593383,2.40128068303095,0.0,0.0555555555555555,0.9864,0.8027,7.6874,144.8102
George Peabody,0,contested,culture,1917,7564,0.0,1.0432968179447053,1.0432968179447053,,0.25,1.0,0.9552,2.3966,88.0399
George Alsop,1,stable,culture,2251,7685,7.107952021323856,3.109729009329187,1.776988005330964,0.0,0.1363636363636363,0.9836,0.8197,7.8125,143.2446
Intrexx,0,contested,science,2212,5393,3.6166365280289328,4.520795660036167,1.3562386980108498,,0.25,1.0,0.9028,0.5727,132.105
Coniophis,1,stable,science,2358,5038,0.0,0.0,0.0,,0.5,,,0.0,
Politikverdrossenheit,0,contested,politics_history,5765,8385,2.2549869904596704,7.111882046834346,4.683434518647007,0.4285714285714285,0.5909090909090909,0.9657,0.7657,6.9486,105.285
George Mason,1,stable,politics_history,5432,7668,1.840942562592047,4.970544918998527,1.6568483063328423,0.0,0.4583333333333333,0.9868,0.9298,7.3792,162.8649
Nursultan Nasarbajew,0,contested,geography,3675,8066,0.0,0.5442176870748299,0.5442176870748299,0.25,0.4166666666666667,1.0,0.9452,2.3031,74.5714
Diolkos,1,stable,geography,3917,8181,3.8294613224406433,1.0211896859841716,0.7658922644881286,0.0769230769230769,0.1071428571428571,1.0,0.9647,8.2576,143.8251
Biofeedback,0,contested,science,2459,8066,1.220008133387556,3.253355022366816,1.220008133387556,,0.1666666666666666,1.0,0.8657,2.7082,227.1289
Theorie der endlichen Kugelpackungen,1,stable,science,2497,7939,1.6019223067681216,3.2038446135362433,1.6019223067681216,0.0,0.125,0.9872,0.6923,5.277,52.5733
Kindertagesbetreuung,0,contested,politics_history,3747,7665,0.2668801708033093,1.6012810248198557,0.8006405124099278,,0.625,1.0,0.8295,3.9698,125.3882
Wieslauftalbahn,1,stable,politics_history,3685,7828,0.542740841248304,0.542740841248304,0.271370420624152,,0.5,1.0,0.9764,8.6694,101.3943
Geschichte Äquatorialguineas,0,contested,geography,4830,7164,0.0,0.2070393374741201,0.0,,0.5,1.0,1.0,1.8282,127.4121
Mesolongi,1,stable,geography,4885,7284,1.0235414534288638,3.480040941658137,0.818833162743091,0.1111111111111111,0.15,0.9943,0.954,8.4349,121.5469
Self Storage,0,contested,culture,2405,6942,0.0,1.2474012474012477,0.4158004158004158,,0.5,1.0,0.9412,2.0534,121.7584
Adolf von Kröner,1,stable,culture,2360,7312,0.423728813559322,0.423728813559322,0.0,,0.8333333333333334,1.0,0.9672,2.1858,105.1428
Thomas Ball Barratt,0,contested,culture,3881,7063,0.0,6.183973202782788,3.3496521515073434,0.0,0.25,0.9876,0.9006,5.7593,127.9005
Madlax,1,stable,culture,3843,6909,1.3010668748373666,2.0817069997397866,0.2602133749674733,,0.6428571428571429,0.9917,0.8583,9.6017,164.2691
"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",0,contested,politics_history,2826,6830,0.0,1.7692852087756543,0.7077140835102619,,0.25,0.9888,0.8652,0.4103,97.8546
Fünfjahrplan (Briefmarkenserie),1,stable,politics_history,3042,6924,0.0,4.602235371466141,2.3011176857330704,,0.1666666666666666,0.9692,0.8769,4.386,14.6254
Unicredit Bank Austria,0,contested,geography,4408,7649,0.2268602540834845,0.6805807622504537,0.4537205081669691,0.0,0.125,1.0,0.9735,1.6345,88.6783
Kloster Himmelkron,1,stable,geography,4657,7798,2.791496671677045,1.503113592441486,0.6441915396177798,0.0,0.25,1.0,0.9647,2.4739,80.3023
Politisches System Japans,0,contested,geography,3643,7615,0.2744990392533626,1.9214932747735385,0.8234971177600879,,0.75,0.9669,0.8512,7.2191,130.8934
Craters of the Moon National Monument,1,stable,geography,3380,7639,0.8875739644970414,5.029585798816568,1.4792899408284024,0.0,0.25,1.0,0.9576,2.7844,140.3292
Al-Andalus,0,contested,geography,4645,6363,0.6458557588805167,2.583423035522067,0.8611410118406889,,0.1666666666666666,1.0,0.935,8.8496,133.1996
Basler Fasnacht,1,stable,geography,4586,6279,0.2180549498473615,4.579153946794592,1.9624945486262535,0.0,0.1875,0.9856,0.8804,10.6207,166.2936
Judentum in Afrika,0,contested,geography,7971,7232,1.380002509095471,3.512733659515745,2.00727637686614,0.3684210526315789,0.4047619047619047,1.0,0.9542,4.8481,50.7941
LGV Est européenne,1,stable,geography,7672,6732,0.2606882168925964,2.997914494264859,2.21584984358707,0.0,0.0833333333333333,0.9957,0.9739,3.6298,80.8193
Nornickel,0,contested,geography,4746,7044,0.0,0.2107037505267593,0.2107037505267593,0.0,0.0454545454545454,1.0,0.963,2.269,99.502
Schwarzwaldbahn (Baden),1,stable,geography,4724,6736,0.2116850127011007,3.598645215918713,1.693480101608806,,0.25,0.9932,0.9796,4.1864,85.2654
Data Loss Prevention,0,contested,science,1785,6603,0.5602240896358543,5.602240896358543,3.92156862745098,0.0,0.1,0.9839,0.8871,9.009,182.3061
Bonnetiaceae,1,stable,science,1746,6998,0.0,4.009163802978236,1.718213058419244,,0.5,1.0,0.8571,6.3052,101.5149
Ahmad Schah Massoud,0,contested,geography,7270,5807,0.4126547455295736,1.1004126547455295,0.2751031636863824,0.0555555555555555,0.1666666666666666,0.9913,0.9043,6.4811,163.4398
S-Bahn Zürich,1,stable,geography,7244,5747,0.5521811154058531,1.2424075096631697,0.4141358365543898,,0.75,1.0,0.9542,2.9194,87.1347
Andor Ákos,0,contested,culture,6610,5251,1.059001512859304,3.3282904689863844,1.815431164901664,0.0,0.0833333333333333,0.9786,0.8075,4.3211,163.1931
Deutsche Bank Park,1,stable,culture,6586,4927,0.4555116914667476,1.8220467658669903,0.7591861524445794,,0.625,0.9947,0.9626,3.4803,76.537
Massivholzbau,0,contested,science,3306,6311,0.9074410163339384,1.5124016938898972,0.9074410163339384,,0.375,0.9767,0.9186,6.9556,163.2469
Zielratte,1,stable,science,3064,6195,0.0,0.3263707571801567,0.0,,0.5,0.8571,0.8571,0.0,96.4516
Israelitische Synagogen-Gemeinde Adass Jisroel zu Berlin,0,contested,geography,4524,7455,0.4420866489832006,2.2104332449160036,1.5473032714412025,0.0,0.3571428571428571,0.9866,0.9128,2.2466,107.4632
Parochialkirche (Berlin),1,stable,geography,4997,7463,2.2013207924754856,2.2013207924754856,1.0006003602161295,,0.25,1.0,0.9588,2.7322,115.277
Bernd Kebelmann,0,contested,culture,3223,2888,0.0,0.0,0.0,,0.1666666666666666,0.9615,0.8077,0.7722,88.6739
Halo-System,1,stable,culture,3035,3471,0.6589785831960461,3.2948929159802307,1.6474464579901154,0.0,0.3,1.0,0.9737,5.7803,141.3137
Austerität,0,contested,politics_history,3875,5793,0.7741935483870968,6.451612903225806,6.193548387096774,,0.6428571428571429,0.9909,0.8273,10.9724,200.0392
Georges Scelle,1,stable,politics_history,3758,6033,0.532197977647685,0.532197977647685,0.2660989888238425,,0.25,0.9783,0.8261,3.3557,90.7107
Montessori Biberkor,0,contested,politics_history,5744,3744,0.6963788300835655,0.6963788300835655,0.3481894150417827,,0.25,1.0,0.9263,0.9886,96.735
Bruttoinlandsprodukt,1,stable,politics_history,5584,3756,0.3581661891117478,2.6862464183381087,1.4326647564469914,0.0,0.2916666666666667,0.9937,0.8868,5.233,95.4284
Neukirchen-Vluyn,0,contested,geography,6493,5517,0.3080240258740181,0.9240720776220545,0.3080240258740181,0.0,0.0625,0.9895,0.9263,4.0051,79.5912
George Appo,1,stable,geography,6926,5577,0.4331504475887958,1.4438348252959865,1.2994513427663876,0.1764705882352941,0.2368421052631578,0.9943,0.9143,7.2042,160.0728
Gesellschaft für Unternehmensgeschichte,0,contested,politics_history,1815,5314,0.0,1.6528925619834711,0.0,,0.625,1.0,0.9437,1.2903,104.1935
"Trier, Stadtbibliothek, Hs. 171/1626",1,stable,politics_history,1866,5562,2.1436227224008575,0.0,0.0,,0.1666666666666666,0.9688,0.875,3.8936,154.5069
Ilse Schwidetzky,0,contested,culture,2254,7038,0.0,2.6619343389529724,0.8873114463176576,0.3333333333333333,0.375,1.0,0.9286,1.0764,80.4927
Soliman (Elefant),1,stable,culture,2597,7273,1.9252984212552944,1.9252984212552944,0.7701193685021178,0.1666666666666666,0.3125,1.0,0.9091,0.5688,153.8925
Wuestenstrom,0,contested,politics_history,3890,6977,0.0,0.0,0.0,,0.5,1.0,0.8,0.0,52.8516
Queen-Elizabeth-Klasse (2017),1,stable,politics_history,3990,7229,1.0025062656641603,1.2531328320802004,1.0025062656641603,0.25,0.5625,1.0,0.9764,7.8622,130.8814
Transzendentale Meditation,0,contested,culture,5905,6671,0.8467400508044031,2.8789161727349706,1.8628281117696868,0.4,0.7291666666666666,0.9808,0.8718,1.6238,170.3035
Ammonios Hermeiou,1,stable,culture,6150,6567,2.7642276422764227,1.6260162601626016,1.3008130081300813,0.4166666666666667,0.4230769230769231,0.9586,0.7041,7.164,141.7239
Monocab,0,contested,politics_history,2689,1208,0.3718854592785422,2.231312755671253,0.7437709185570844,0.0,0.125,1.0,0.902,4.898,174.6009
Pont Ferroviaire Saint-Laurent,1,stable,politics_history,3119,1654,0.3206155819172812,0.6412311638345624,0.6412311638345624,,0.5,1.0,0.9839,5.7322,81.0389
TransPod,0,contested,politics_history,1918,3145,0.0,0.0,0.0,,0.1666666666666666,1.0,1.0,4.6012,157.001
Richomer,1,stable,politics_history,1874,3017,3.735325506937033,1.0672358591248667,0.5336179295624334,,0.375,1.0,0.9038,7.109,143.3202
Wasser-Abrasiv-Suspensions-Strahlschneiden,0,contested,science,3033,1810,0.9891196834817012,2.637652489284537,0.9891196834817012,0.0,0.125,0.9906,0.9057,2.2007,140.3792
Kleine Magellansche Wolke,1,stable,science,2713,2256,1.1057869517139698,1.8429782528566163,1.474382602285293,0.0,0.0625,1.0,0.9667,4.6647,125.7097
Propaganda im Ersten Weltkrieg,0,contested,geography,4383,7400,0.9126169290440338,2.509696554871093,1.3689253935660506,0.2,0.4333333333333333,0.993,0.9366,5.9156,194.2314
Zwinger (Münster),1,stable,geography,4028,7535,1.4895729890764648,0.7447864945382324,0.4965243296921549,0.0,0.1,1.0,0.9286,8.1967,131.6223
Dräxlmaier,0,contested,politics_history,1788,6630,0.0,0.5592841163310962,0.0,,0.5,1.0,1.0,0.0,105.2606
Brinkmanship,1,stable,politics_history,1823,6359,0.5485463521667581,0.5485463521667581,0.0,,0.25,0.9792,0.8542,1.6194,70.629
Schulpflicht,0,contested,politics_history,2860,5658,0.6993006993006993,2.097902097902098,1.3986013986013983,,0.7857142857142857,0.9726,0.9315,4.6885,115.0531
Straßenbahn München Baureihe S,1,stable,politics_history,2800,4948,0.0,0.3571428571428571,0.3571428571428571,,0.5,1.0,0.9844,4.6205,102.6198
Babylon A.D.,0,contested,culture,2438,6449,0.0,1.2305168170631666,0.8203445447087777,0.0,0.3,0.9167,0.8333,8.1301,152.1401
Richard Laymon,1,stable,culture,2708,7066,0.0,1.1078286558345642,0.0,0.0,0.125,1.0,0.9455,2.6015,88.5644
Fraunhofer-Institut für Keramische Technologien und Systeme,0,contested,science,3163,6841,0.0,0.3161555485298767,0.0,,0.5,1.0,0.9417,1.225,98.9308
Solanum subg. Leptostemonum,1,stable,science,3136,6809,0.0,2.8698979591836737,0.3188775510204081,,0.1666666666666666,0.9811,0.8113,8.0972,87.81
Sexhandel in Thailand,0,contested,geography,2591,5650,0.0,2.701659590891548,0.7719027402547279,0.0,0.125,1.0,0.9254,0.677,120.6851
Bruno Büchner,1,stable,geography,2862,5475,0.0,0.3494060097833683,0.0,0.0,0.0833333333333333,1.0,0.974,8.4128,124.5488
Deutsche Steinzeug Cremer & Breuer,0,contested,politics_history,4735,3727,0.2111932418162618,0.2111932418162618,0.0,,0.25,1.0,1.0,2.8329,92.2544
Wittem-Projekt,1,stable,politics_history,5402,3463,1.295816364309515,2.7767493520918176,2.2213994816734544,,0.5833333333333334,0.9911,0.7232,7.8181,156.3391
Große Hungersnot in Irland,0,contested,geography,4827,5473,1.243008079552517,3.314688212140046,0.4143360265175057,0.0,0.125,0.9935,0.9281,6.6738,149.3263
Teltow-Werft,1,stable,geography,4831,5967,0.206996481059822,1.448975367418754,1.03498240529911,,0.75,1.0,0.9844,4.0282,108.2942
Staat,0,contested,politics_history,6601,3862,0.1514921981517951,1.8179063778215423,0.4544765944553856,0.0,0.1,0.9758,0.8121,5.3703,136.1364
Computerbetrug,1,stable,politics_history,6487,3792,0.7707723138584861,2.466471404347156,2.1581624788037614,0.1666666666666666,0.45,0.9707,0.7854,5.3651,93.4128
Ludwig-Boltzmann-Institut für Funktionelle Hirntopographie,0,contested,science,2042,3964,0.0,2.9382957884427032,1.9588638589618024,,0.5,1.0,0.75,3.4554,133.7865
Drahtgewebe (Filtration),1,stable,science,2028,3238,0.4930966469428008,1.9723865877712032,0.0,,0.5,1.0,0.8919,5.7971,128.5361
Partidul Social Democrat European,0,contested,politics_history,4067,6142,0.0,0.0,0.0,0.0,0.1875,1.0,0.8,1.4152,75.8789
Philokartie,1,stable,politics_history,3825,6138,0.5228758169934641,6.7973856209150325,1.830065359477124,0.0,0.0833333333333333,1.0,0.9474,1.4787,177.9432
Atari Teenage Riot,0,contested,culture,2984,8129,0.3351206434316354,3.0160857908847185,0.3351206434316354,0.1333333333333333,0.25,0.9888,0.9326,4.456,105.7831
Cindy Sherman,1,stable,culture,2813,7866,0.7109847138286527,2.1329541414859583,0.3554923569143263,,0.25,0.9851,0.9552,4.7569,138.9357
Schlacht im Ia-Drang-Tal,0,contested,politics_history,3374,6973,0.2963841138114997,5.334914048606994,1.1855364552459988,,0.1666666666666666,0.9886,0.9829,8.64,150.3138
Chinesische Volksbank,1,stable,politics_history,3333,7069,0.3000300030003,0.3000300030003,0.0,,0.7857142857142857,0.9767,0.9302,2.4019,95.4082
Hamburg Commercial Bank,0,contested,politics_history,3724,6985,0.5370569280343717,1.8796992481203008,1.074113856068743,0.2307692307692307,0.4166666666666667,1.0,0.9732,2.2214,97.5321
Korsika im Altertum,1,stable,politics_history,3764,7221,2.922422954303932,2.3910733262486716,0.5313496280552603,,0.5,0.9851,0.9403,6.3888,151.3231
Helmtherapie,0,contested,science,1606,6387,0.0,3.1133250311332503,2.4906600249066004,,0.1666666666666666,1.0,0.8824,3.4388,146.785
Acherontia lachesis,1,stable,science,1644,6076,0.0,1.8248175182481752,1.8248175182481752,,0.5,1.0,0.8421,0.0,111.3113
EU-Erweiterung 2004,0,contested,politics_history,4246,7872,2.5906735751295336,2.5906735751295336,0.7065473386716911,0.0,0.3125,0.987,0.9221,6.4885,116.6872
Handelsgeschäft,1,stable,politics_history,4337,7610,0.6917223887479824,2.0751671662439475,1.3834447774959648,0.0,0.825,0.9839,0.8548,6.5027,116.8922
Neokatechumenaler Weg,0,contested,culture,7067,6403,1.1320220744304514,2.547049667468516,1.4150275930380642,0.1666666666666666,0.5,0.9815,0.8395,4.666,160.7952
Günther Anders,1,stable,culture,7414,6370,0.4046398705152414,1.8883193957377933,1.348799568384138,0.0714285714285714,0.325,0.9826,0.7384,1.9585,117.0544
Chartered Institute for Archaeologists,0,contested,politics_history,1970,3148,0.0,2.0304568527918785,0.5076142131979696,0.6666666666666666,0.625,0.9722,0.7917,2.9958,136.4307
Philadelphia and Reading Railroad Bridge (Susquehanna River),1,stable,politics_history,2046,3086,0.0,0.4887585532746823,0.0,,0.5,1.0,0.9714,0.9124,72.3036
Neue Kadampa-Tradition,0,contested,culture,3187,7518,0.6275494195167869,3.7652965171007216,0.6275494195167869,0.0,0.0357142857142857,0.9904,0.875,3.3346,107.7214
Weinbau in Kanada,1,stable,culture,3142,7629,1.591343093570974,0.9548058561425844,0.3182686187141947,,0.1666666666666666,1.0,0.9732,4.0956,151.6992
Timotheus Höttges,0,contested,politics_history,2234,7025,0.0,1.7905102954341987,1.7905102954341987,,0.75,0.9836,0.9672,2.3781,85.6424
Josephus Daniels (Schiff),1,stable,politics_history,2320,7039,0.4310344827586206,1.293103448275862,0.0,,0.5,1.0,0.9894,4.5386,123.9418
Luftlager,0,contested,science,2434,8123,0.8216926869350862,1.2325390304026294,0.8216926869350862,,0.5,0.9796,0.9082,3.5425,155.6219
Löffelhund,1,stable,science,2356,8189,0.8488964346349746,2.1222410865874366,0.4244482173174873,,0.5,1.0,0.9375,6.1566,148.9139
Die Zeitgeist-Bewegung,0,contested,science,2269,5621,1.3221683561040103,3.085059497576025,1.762891141472014,0.2857142857142857,0.45,0.9692,0.7231,6.8353,134.8062
Basfia succiniciproducens,1,stable,science,2217,6089,0.0,2.706359945872802,0.4510599909788002,0.0,0.125,1.0,0.9118,5.5617,121.5321
Tempolimit,0,contested,science,2813,5057,1.0664770707429791,2.4884464984002843,1.0664770707429791,0.0,0.7352941176470589,1.0,0.8533,1.6287,77.9083
Lift-off-Verfahren,1,stable,science,2762,5734,0.3620564808110065,2.896451846488052,1.448225923244026,0.0,0.0714285714285714,1.0,0.7791,3.1153,157.5806
Iqos,0,contested,politics_history,3138,2747,0.9560229445506692,2.868068833652008,1.9120458891013383,0.3333333333333333,0.3928571428571428,1.0,0.875,2.5016,150.7247
ASB Bridge,1,stable,politics_history,2819,2840,1.064207165661582,0.7094714437743881,0.0,,0.1666666666666666,1.0,1.0,2.8544,74.1659
Sklavenhandel,0,contested,politics_history,6686,4921,0.7478312892611427,2.243493867783428,0.5982650314089142,0.0,0.2692307692307692,1.0,0.915,5.8979,167.5645
Panzerhaubitze 2000,1,stable,politics_history,7112,4790,0.7030371203599549,0.843644544431946,0.421822272215973,0.0,0.3888888888888889,1.0,0.969,3.042,114.785
The Third Wave,0,contested,science,1904,6635,0.0,1.050420168067227,0.0,0.3333333333333333,0.4375,1.0,0.8611,0.0,157.4677
Regenbaum,1,stable,science,2149,6650,0.4653327128897161,2.3266635644485807,1.861330851558865,0.0,0.0833333333333333,1.0,0.8704,4.6765,104.6974
Verelendungstheorie,0,contested,politics_history,2803,6150,2.4973242953977883,4.994648590795577,4.281127363539065,0.25,0.4166666666666667,0.9855,0.8116,10.5673,176.459
Big-Mac-Index,1,stable,politics_history,3101,6577,0.3224766204450177,2.257336343115124,0.9674298613350532,,0.25,0.9792,0.8542,3.0519,23.7713
Jüngere Dryaszeit,0,contested,science,4041,7523,1.7322444939371442,1.2373174956693886,0.7423904974016332,0.0,0.125,1.0,0.8857,8.328,122.7549
Keilzinkung,1,stable,science,4160,7317,0.2403846153846154,0.2403846153846154,0.0,,0.5,1.0,1.0,0.0,153.7891
Gestalttherapie,0,contested,science,5807,6863,0.5166178749784742,3.0997072498708453,2.066471499913897,0.0,0.3,0.9703,0.797,3.8768,130.5503
Katalyse,1,stable,science,5736,7129,0.3486750348675034,2.963737796373779,0.5230125523012552,,0.25,0.995,0.8706,2.183,109.5749
Küchenabfallzerkleinerer,0,contested,science,2890,7233,1.7301038062283738,1.3840830449826989,0.6920415224913494,,0.1666666666666666,1.0,0.9178,2.5413,152.5592
Kauffmann-White-Schema,1,stable,science,2713,7240,1.474382602285293,4.423147806855879,1.8429782528566163,,0.1666666666666666,1.0,0.7848,3.7831,37.6502
Kurort,0,contested,science,1685,8317,0.0,1.1869436201780414,0.5934718100890207,,0.25,1.0,0.8696,1.3624,130.3823
Schäbe,1,stable,science,1623,8149,0.0,0.0,0.0,,0.5,1.0,0.8,8.4746,179.3867
Substanzinduzierte Psychose,0,contested,science,4000,7285,0.25,1.25,0.75,0.0,0.1,1.0,0.8571,7.5058,198.0331
Wechselwirkende Galaxien,1,stable,science,3738,7268,1.8726591760299625,4.5478865703584805,1.070090957731407,0.0,0.125,1.0,0.9541,3.3803,140.4093
Das sogenannte Böse,0,contested,science,4425,8199,1.355932203389831,4.971751412429379,1.581920903954802,0.0,0.1923076923076923,0.9938,0.679,5.1711,229.8125
Gänsegeier,1,stable,science,4135,8216,3.143893591293833,2.4183796856106405,0.2418379685610641,0.0,0.1,0.9692,0.9077,6.3588,124.1203
Pharmahersteller,0,contested,science,5099,6198,0.588350656991567,3.1378701706216905,1.5689350853108452,0.2,0.5,1.0,0.9381,1.938,117.3802
(136199) Eris,1,stable,science,5115,6412,0.3910068426197458,0.5865102639296188,0.3910068426197458,,0.5,1.0,0.913,3.6765,83.4367
PANalytical,0,contested,science,1964,6618,1.0183299389002036,2.0366598778004072,0.5091649694501018,,0.5,1.0,0.9157,3.3445,162.7
Waldsteppenotter,1,stable,science,2168,6660,0.0,2.7675276752767526,1.8450184501845015,,0.1666666666666666,1.0,0.9464,3.9936,107.5695
T-Labs,0,contested,science,1563,7299,0.0,1.2795905310300704,0.0,,0.25,1.0,1.0,0.0,82.3053
Lilium pardalinum subsp. pitkinense,1,stable,science,1511,6986,1.3236267372600927,0.6618133686300464,0.6618133686300464,0.0,0.4166666666666667,1.0,0.8293,5.9072,129.8653
Ungarische Notation,0,contested,science,3275,8097,0.916030534351145,3.0534351145038165,2.137404580152672,0.0,0.1,0.9776,0.2537,6.7851,120.1912
Ankylosauria,1,stable,science,3322,7859,5.418422636965683,3.3112582781456954,2.107164358819988,,0.5,0.9873,0.9114,11.3754,101.8553
Prophylaxe (Zahnmedizin),0,contested,science,4188,7368,0.2387774594078319,1.9102196752626552,0.9551098376313276,,0.5,0.9942,0.8547,4.7876,133.5678
Crashtest-Dummy,1,stable,science,4430,7688,0.4514672686230248,4.514672686230248,2.257336343115124,0.0,0.0714285714285714,1.0,0.8693,5.6038,147.0518
Alexander-Technik,0,contested,science,2036,8192,0.4911591355599213,2.9469548133595285,2.455795677799607,0.25,0.4166666666666667,0.9821,0.8929,6.9444,192.8026
Ringelröteln,1,stable,science,1818,8101,1.1001100110011,1.6501650165016502,0.55005500550055,0.0,0.0833333333333333,0.9851,0.9254,5.1216,145.7652
Neoarchaikum,0,contested,science,3302,7638,2.1199273167777104,1.8170805572380375,1.2113870381586918,,0.5,1.0,0.9306,3.6058,80.1699
Schlangenadler,1,stable,science,3358,7734,2.084574151280524,3.8713519952352593,1.1911852293031568,,0.5,1.0,0.9474,8.1358,157.7243
