title,label,label_name,topic,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count,trends_avg
Kavirondo,0,contested,geography,0.0,0.0388,1,5,57,7388,0.012,0,6,5,2387,
Talk:1995 European Grand Prix,1,stable,culture,0.0,0.0192,0,6,22,7110,0.0,0,0,0,2656,
Paul Sereno,0,contested,people,0.0,0.0392,20,8,158,7556,0.069,0,601,17,1690,
Talk:2001 (Dr. Dre album),1,stable,culture,0.5513,0.0301,0,18,38,7607,0.0,0,0,0,2020,
Manele,0,contested,culture,0.8183,0.1231,22,16,244,6567,0.008,0,10527,26,1925,
Talk:24: Redemption,1,stable,culture,0.5128,0.0362,0,13,39,6496,0.023,0,0,0,2132,
Lewis Namier,0,contested,people,0.5297,0.0,40,11,213,7971,0.005,0,1498,26,2966,
Talk:1998–99 Manchester United F.C. season,1,stable,culture,0.7194,0.0355,0,14,45,7404,0.053,0,0,0,3050,
Jack Sarfatti,0,contested,people,1.5949,0.0278,18,8,193,5477,0.012,5,358,32,1135,
Talk:60 Hudson Street,1,stable,culture,0.0,0.0889,0,2,14,6145,0.0,0,0,0,1186,
Lu Sheng-yen,0,contested,politics,6.0606,0.04,10,10,175,6724,0.024,0,5644,26,1023,
Talk:189th Infantry Brigade (United States),1,stable,politics,0.0,0.0,0,12,16,6870,0.0,0,0,0,1081,
History of Taiwan (1945–present),0,contested,politics,0.5568,0.029,68,11,249,6380,0.048,0,4936,22,7850,
Talk:1996 Manchester bombing,1,stable,history,1.4799,0.0186,1,18,57,6073,0.021,0,0,0,7380,
Invitae,0,contested,culture,0.0,0.0541,17,5,58,7697,0.009,0,61,8,1177,
Talk:22 Short Films About Springfield,1,stable,culture,0.0,0.027,0,9,31,7646,0.043,0,0,0,1142,
Queen Rania of Jordan,0,contested,history,0.3577,0.0408,138,26,242,1733,0.064,1,1684,32,6155,
Talk:1920 Xalapa earthquake,1,stable,science,0.1903,0.0388,0,8,13,1940,0.011,0,0,0,5930,
One-Two-Go Airlines,0,contested,culture,1.3228,0.0,26,6,247,6913,0.004,1,326,21,1504,
Talk:1990 New York Giants season,1,stable,culture,0.0,0.0059,0,10,22,6913,0.0,0,0,0,1537,
Todd Andrews,0,contested,people,0.7273,0.0,18,10,135,8301,0.026,0,249,14,1995,44.8
Talk:7 (New York City Subway service),1,stable,culture,0.0,0.0099,0,10,39,7601,0.0,0,0,0,1646,
Siliguri Corridor,0,contested,geography,0.0,0.1351,54,9,268,7769,0.088,0,401,20,2177,
Talk:17th Airborne Division (United States),1,stable,politics,0.0,0.0,9,7,24,7408,0.0,0,0,0,2309,
Shabdangal,0,contested,history,0.8726,0.0806,2,5,33,7478,0.048,0,394,9,1224,
Talk:9th millennium BC,1,stable,history,1.1737,0.1136,0,5,29,7615,0.02,0,0,0,1004,
Heintzman & Co.,0,contested,culture,0.0,0.0,6,6,63,7391,0.027,0,216,6,1039,
Talk:30 Rockefeller Plaza,1,stable,culture,0.0,0.0182,1,1,43,7437,0.02,0,0,0,1119,
Freedomites,0,contested,culture,0.0,0.0,53,7,116,7557,0.007,0,1397,23,2438,3.9
Talk:12 oz. Mouse,1,stable,culture,2.2915,0.0875,0,20,54,7610,0.01,0,0,0,2414,
Search fund,0,contested,culture,0.0,0.025,14,7,101,7367,0.055,0,185,5,1186,
Talk:7 Subway Extension,1,stable,culture,0.0,0.0079,0,12,34,7395,0.0,0,0,0,1224,
Ferenc Gyurcsány,0,contested,politics,0.7508,0.0242,55,16,256,6068,0.048,1,7984,32,3896,9.0
Talk:1963 Syrian coup d'état,1,stable,politics,1.1119,0.0548,1,6,35,5905,0.022,0,0,0,3457,
Sydney Hilton Hotel bombing,0,contested,history,0.5938,0.0,66,12,155,5856,0.048,2,16034,15,4125,
"Talk:999: Nine Hours, Nine Persons, Nine Doors",1,stable,culture,0.9245,0.0597,0,14,34,5715,0.0,0,0,0,3652,
Indian Posse,0,contested,culture,0.0,0.0299,60,7,114,7416,0.002,0,933,33,7400,
Talk:1900 Galveston hurricane,1,stable,science,0.1728,0.0451,0,40,98,7919,0.016,0,0,0,6294,
Religious segregation,0,contested,culture,0.0,0.044,64,13,289,6652,0.004,0,13285,24,4507,
Talk:300-page iPhone bill,1,stable,culture,0.0,0.0964,0,16,74,6825,0.012,0,0,0,3946,
Edgar Laprade,0,contested,geography,0.0,0.0,10,6,67,7630,0.094,0,319,16,1905,
Talk:61 Cygni,1,stable,science,0.9515,0.0329,0,9,30,7823,0.0,0,0,0,2262,
Albert Apponyi,0,contested,politics,1.1193,0.0118,22,17,134,7477,0.092,0,15,11,8266,
Talk:11th Airborne Division,1,stable,politics,0.6371,0.0269,0,25,47,7188,0.0,0,0,0,6790,
CRDF Global,0,contested,culture,0.0,0.0102,22,11,59,7625,0.0,0,11,5,1913,
Talk:The 40-Year-Old Virgin,1,stable,culture,0.0,0.0385,0,15,63,7613,0.0,0,0,0,2060,
Kiewit Corporation,0,contested,culture,0.0,0.0789,30,7,238,7853,0.053,1,1727,34,1327,
Talk:4th Time Around,1,stable,culture,0.9814,0.0877,0,4,39,7775,0.0,0,0,0,1161,
Ceilândia,0,contested,geography,0.0,0.125,12,12,107,7576,0.017,0,211,10,1319,
Talk:1971 Atlantic hurricane season,1,stable,science,1.087,0.0,0,11,17,7645,0.073,0,0,0,1068,
"Cornell University College of Architecture, Art, and Planning",0,contested,culture,0.0,0.0381,36,15,122,7782,0.0,0,116,8,2477,
Talk:1984 (Van Halen album),1,stable,culture,1.4019,0.0338,0,13,37,7800,0.058,0,0,0,2364,
Time's Up!,0,contested,culture,2.5063,0.0,22,5,92,7478,0.02,2,600,16,1227,
Talk:30 Seconds to Mars (album),1,stable,culture,0.0,0.0312,0,9,30,7553,0.0,0,0,0,1197,
Gandhi Peace Award,0,contested,politics,0.0,0.125,9,6,129,8225,0.0,0,202,8,1548,
Talk:45th Infantry Division (United States),1,stable,politics,1.4782,0.0595,0,9,40,7677,0.027,0,0,0,1592,
Postwar Japan,0,contested,politics,0.2934,0.0054,11,9,191,8331,0.003,0,1049,21,3936,
Talk:1969 Atlantic hurricane season,1,stable,science,0.0,0.0167,0,27,37,7708,0.096,0,0,0,3572,
Instant Funk,0,contested,culture,0.0,0.0,16,8,88,7897,0.007,0,101,9,1163,
Talk:1989 Atlantic hurricane season,1,stable,science,0.8143,0.0163,0,7,24,7504,0.016,0,0,0,1339,
TASCAM,0,contested,culture,0.0,0.0179,71,11,142,7609,0.032,0,521,13,2400,
Talk:2000 World Snooker Championship,1,stable,culture,0.0,0.0,0,2,10,7301,0.0,0,0,0,2171,
Rosvall and Voutilainen,0,contested,history,2.7422,0.0377,7,7,61,7657,0.045,0,97,4,1470,
Talk:1988 Armenian earthquake,1,stable,history,0.0,0.0732,0,8,33,7573,0.0,0,0,0,1494,
Michael Woroniecki,0,contested,people,0.0,0.044,124,11,192,6818,0.058,0,1550,22,3649,
Talk:42nd Street Shuttle,1,stable,culture,1.3441,0.0562,1,21,36,7244,0.037,0,0,0,3247,
David Brudnoy,0,contested,culture,0.5126,0.0238,35,9,148,7855,0.006,0,811,23,2922,
Talk:1992 Atlantic hurricane season,1,stable,science,0.0,0.028,0,19,34,7505,0.009,0,0,0,3412,
La Voisin,0,contested,people,0.0,0.0667,47,17,222,8301,0.114,0,780,24,3630,
Talk:1987 Atlantic hurricane season,1,stable,science,1.0316,0.0352,0,10,19,7773,0.011,0,0,0,3029,
South Carolina in the American Revolution,0,contested,history,0.3106,0.0167,5,11,223,7583,0.008,0,250,11,3626,
Talk:4 in the Morning,1,stable,culture,0.0,0.0519,3,23,45,7014,0.0,0,0,0,3227,
